Name,Abbr,Energy_Burden
Alabama, AL,0.08
Alaska, AK,0.09
Arizona, AZ,0.06
Arkansas, AR,0.08
California, CA,0.04
Colorado, CO,0.05
Connecticut, CT,0.08
Delaware, DE,0.07
District of Columbia, DC,0.06
Florida, FL,0.06
Georgia, GA,0.06
Hawaii, HI,0.06
Idaho, ID,0.06
Illinois, IL,0.07
Indiana, IN,0.07
Iowa, IA,0.07
Kansas, KS,0.07
Kentucky, KY,0.08
Louisiana, LA,0.09
Maine, ME,0.11
Maryland, MD,0.06
Massachusetts, MA,0.07
Michigan, MI,0.08
Minnesota, MN,0.06
Mississippi, MS,0.09
Missouri, MO,0.07
Montana, MT,0.08
Nebraska, NE,0.07
Nevada, NV,0.06
New Hampshire, NH,0.08
New Jersey, NJ,0.05
New Mexico, NM,0.08
New York, NY,0.07
North Carolina, NC,0.06
North Dakota, ND,0.06
Ohio, OH,0.07
Oklahoma, OK,0.08
Oregon, OR,0.05
Pennsylvania, PA,0.08
Rhode Island, RI,0.08
South Carolina, SC,0.07
South Dakota, SD,0.07
Tennessee, TN,0.07
Texas, TX,0.06
Utah, UT,0.04
Vermont, VT,0.1
Virginia, VA,0.06
Washington, WA,0.04
West Virginia, WV,0.09
Wisconsin, WI,0.06
Wyoming, WY,0.08
